Size,MergeSort,InsertionSort,Timsort
100,0.00011158332927152514,0.00014345832945158085,6.305344868451357e-06
1000,0.0014573749892103176,0.014787305321078748,8.748599793761969e-05
5000,0.006750930663353453,N/A,0.0003503889893181622
10000,0.013505694339983165,N/A,0.0007670973233568171
20000,0.02868412499083206,N/A,0.0016811946600986023
